id	e	k	m	t
67	0	7	6170	3.0
68	0	7	6840	2.0
69	0	7	7401	3.0
70	0	7	6076	3.0
71	0	7	5314	4.0
72	0	7	5740	3.0
73	0	7	6111	3.0
74	0	7	4846	2.0
75	0	7	2175	1.0
76	0	7	6440	3.0
77	0	7	4578	2.0
78	0	7	5412	3.0
79	0	7	5941	4.0
80	0	7	6905	4.0
81	0	7	7631	3.0
82	0	7	7274	3.0
83	0	7	5473	3.0
84	0	7	2069	2.0
85	0	7	5952	3.0
86	0	7	5323	3.0
87	0	7	6190	2.0
88	0	7	6181	3.0
89	0	7	9549	4.0
90	0	7	5898	3.0
91	0	7	5208	3.0
92	0	7	5925	3.0
93	0	7	4773	2.0
94	0	7	6021	3.0
95	0	7	2681	2.0
96	0	7	5960	3.0
97	0	7	5491	4.0
98	0	7	6207	4.0
99	0	7	7224	3.0
0	1	7	131782	38.0
1	1	7	137933	43.0
